date,opponent,uw_score,opponent_score,passing_yards,rushing_yards,fumbles,uw_win
9/3/16,Rutgers,48,13,289,91,0,1
9/10/16,Idaho,59,14,356,126,1,1
9/17/16,Portland State,41,3,194,213,1,1
9/24/16,Arizona,35,28,160,352,0,1
9/30/16,Stanford,44,6,210,214,0,1
10/7/16,Oregon,70,21,304,378,0,1
